;id;year;month;day;hour;min;sec;lat;lon;mag;depth
count;40800.0;40800.0;40800.0;40800.0;40800.0;40800.0;40800.0;40800.0;40800.0;40800.0;40800.0
mean;20400.5;1986.254681372549;6.448357843137255;15.599191176470589;11.354852941176471;28.702132352941177;28.680514705882352;34.64184705882367;85.79100367646998;4.3203970588235885;57.41737745098039
std;11778.089828151253;80.50183488825098;3.4021142660614085;8.863155073868551;7.114682171225144;17.766627580298497;17.856362736253537;6.356864544843115;14.649148349523342;0.6743497288093323;72.80622048157419
min;1.0;19.0;0.0;0.0;0.0;0.0;0.0;14.83;68.45;0.0;-1.0
25%;10200.75;1987.0;4.0;8.0;5.0;13.0;13.0;30.8;72.08;3.8;10.0
50%;20400.5;2001.0;6.0;15.0;11.0;29.0;29.0;36.25;81.9;4.2;33.0
75%;30600.25;2008.0;9.0;23.0;18.0;44.0;44.0;38.21;96.14;4.7;80.0
max;40800.0;2016.0;12.0;31.0;23.0;59.0;59.0;54.84;135.95;8.6;610.0
