id	year	month	day	hour	min	sec	lat	lon	depth	mag
610548675	1906	12	23	7	1	42	51.986	-170.093	35	6.57
16957938	1906	12	23	17	21	32	58.556	-149.472	15	7.03
16957940	1906	12	26	5	53	20	-19.551	-70.607	35	6.86
16957942	1907	1	2	11	56	8	-19.071	-173.306	30	7.3
16957943	1907	1	4	5	19	16	2.422	94.258	15	7.8
610326322	1907	1	14	20	38	11	18.667	-76.237	15	6.2
610548678	1907	1	19	13	8	12	52.888	141.72	15	6.33
610548680	1907	2	2	9	4	48	34.161	22.23	15	5.77
16957951	1907	4	15	6	8	25	16.606	-97.246	30	7.8
16957953	1907	4	18	20	59	53	14.39	122.72	15	7.52
16957956	1907	5	4	5	51	1	-6.708	152.821	25	6.63
16957955	1907	5	4	8	36	32	27.998	142.222	35	6.43
611389649	1907	5	13	21	0	42	-9.735	149.253	35	6.61
610548684	1907	5	25	11	50	28	-0.595	119.791	35	6.39
600208137	1907	5	31	12	42	58	-15.067	-178.245	15	6.53
16957960	1907	6	1	8	40	37	1.494	-79.952	15	6.62
16957961	1907	6	5	3	21	52	2.094	-78.328	35	6.47
16957963	1907	6	13	9	18	10	-40.055	-72.153	15	6.9
610548686	1907	6	24	3	36	12	1.948	118.921	35	6.31
610548690	1907	7	1	13	8	48	11.663	-87.847	15	7.17
610548691	1907	7	4	9	18	56	27.747	55.512	15	5.96
16957967	1907	7	9	18	54	58	15.152	121.796	15	6.82
16957968	1907	7	20	13	38	22	8.316	126.188	35	7.06
610548692	1907	7	29	19	28	35	-1.112	120.018	35	6.34
610326330	1907	8	1	10	6	52	42.999	17.943	15	5.63
610548694	1907	8	5	6	39	0	-24.365	-70.966	15	6.56
610548696	1907	8	21	5	11	17	42.775	48.965	15	5.51
610548698	1907	8	29	11	40	44	42.532	42.047	15	5.47
16957971	1907	9	2	16	1	30	51.505	172.814	15	7.37
610326332	1907	9	15	17	45	41	39.31	71.614	15	6.27
610548700	1907	9	23	21	40	3	13.836	-90.46	10	6.45
610548701	1907	10	4	10	27	39	-6.769	104.039	15	6.42
610548703	1907	10	10	21	42	41	-9.094	153.262	15	6.25
16957972	1907	10	11	14	27	45	-16.149	168.892	15	7.1
914271	1907	10	16	13	57	22	29.379	-113.059	15	7.44
16957975	1907	10	21	4	23	54	39.216	67.999	20	7.44
610326335	1907	10	23	20	28	8	38.101	15.942	15	5.87
16957976	1907	10	27	5	16	13	39.021	68.205	15	6.52
16957977	1907	11	21	20	3	10	6.542	93.118	15	6.55
610326336	1907	11	24	13	58	37	13.359	122.541	15	6.59
610548708	1907	11	29	3	25	36	47.832	-29.362	10	5.63
602790121	1907	12	2	13	53	19	40.492	143.33	35	6.01
16957978	1907	12	15	17	34	56	-2.398	141.899	15	6.95
610548709	1907	12	24	13	23	54	16.57	-47.687	10	5.88
16957981	1907	12	30	5	26	55	10.679	-86.49	35	7.29
16957982	1908	1	11	3	34	36	22.074	121.788	15	7.22
16957983	1908	1	15	12	57	21	37.587	141.782	35	6.82
16957984	1908	2	9	18	13	17	29.405	100.637	15	6.82
610643056	1908	3	23	12	23	41	-9.04	125.42	35	6.79
16957987	1908	3	26	23	3	36	18.11	-99.104	70	7.68
16957991	1908	4	22	23	44	55	-40.513	44.17	10	6.71
602790120	1908	5	3	0	48	38	45.648	151.05	15	6.45
16957992	1908	5	5	6	17	47	0.513	125.487	35	7.26
16957994	1908	5	15	8	31	35	59.626	-141.795	15	6.72
16957995	1908	5	17	12	30	50	34.987	23.884	35	6.06
610326340	1908	8	4	2	10	56	35.267	7.631	15	5.63
16957997	1908	8	20	9	53	25	31.209	87.679	15	7.04
16958000	1908	10	13	5	6	40	17.012	-100.416	35	6.72
16958001	1908	10	14	14	56	14	82.635	23.622	10	6.61
16958004	1908	11	2	5	15	1	-7.956	90.916	35	6.73
16958006	1908	11	6	7	9	30	45.599	149.844	15	7.23
16958007	1908	12	12	12	54	57	26.639	96.866	15	7.17
16958009	1908	12	28	4	20	27	37.965	15.487	15	7.09
610326342	1909	1	19	4	56	39	38.826	26.579	15	6
16958011	1909	1	23	2	48	29	34.306	50.396	15	7.3
16958012	1909	2	9	11	24	5	40.406	38.098	15	6.31
610326343	1909	2	15	9	33	31	42.221	26.685	15	6.09
609601749	1909	3	12	23	18	38	35.897	141.719	15	7.03
16958018	1909	3	13	14	28	59	35.267	142.387	15	7.11
16958019	1909	3	17	22	53	10	-1.213	121.842	35	6.77
16958022	1909	4	10	18	46	54	78.539	129.157	10	6.71
16958026	1909	4	14	19	53	40	24.998	121.434	15	6.72
610326344	1909	4	23	17	39	32	38.739	-8.978	10	6
16958027	1909	4	25	22	35	50	3.117	127.123	35	6.5
16958028	1909	4	27	12	42	53	-3.315	144.171	15	7.06
16958029	1909	4	29	22	41	7	-35.516	52.676	10	6.66
16958038	1909	6	3	18	40	43	-2.713	101.188	35	7.58
16958039	1909	6	8	5	46	37	-26.154	-70.502	35	7.48
610326346	1909	6	11	21	5	27	43.559	5.343	10	5.6
610326347	1909	6	15	23	30	29	39.013	22.801	15	5.77
16958041	1909	6	27	7	15	4	-13.917	167.557	15	6.77
16958043	1909	7	7	21	37	51	36.324	70.357	200	7.7
610326350	1909	7	15	0	35	5	37.957	21.629	15	5.92
16958045	1909	7	30	10	51	51	16.463	-99.529	20	7.5
16958049	1909	8	14	6	30	54	35.773	136.557	15	6.91
16958051	1909	8	18	0	39	29	-21.443	170.004	15	6.67
610326352	1909	8	29	10	29	19	26.131	127.89	35	6.24
16958052	1909	9	8	16	49	39	52.132	-168.354	25	6.52
16958053	1909	9	10	18	8	48	28.984	129.398	15	5.75
602790116	1909	9	16	19	38	51	42.113	142.362	35	6.57
610326454	1909	10	8	9	59	11	45.464	16.09	15	5.96
16958054	1909	10	20	23	41	39	28.668	67.404	15	7.16
16958056	1909	10	31	10	23	21	16.643	-100.966	10	7.07
16958059	1909	11	21	7	35	59	24.014	121.735	35	6.81
16958060	1909	12	9	23	28	45	12.408	144.951	15	7.01
16958064	1910	1	1	11	1	58	17.068	-84.191	15	6.83
16958065	1910	1	8	14	49	24	34.066	122.011	20	6.59
16958067	1910	1	22	8	48	25	66.758	-17.413	10	6.98
16958068	1910	1	23	18	49	23	11.583	-59.474	10	6.53
16958073	1910	2	18	5	9	12	35.809	23.992	60	5.85
16958079	1910	4	12	0	22	24	25.967	124.304	235	8.1
16958081	1910	5	1	18	30	37	-19.858	168.675	15	6.81
16958083	1910	5	13	7	57	42	52.76	-159.744	15	6.63
16958084	1910	5	22	6	24	2	43.418	150.109	15	7.15
16958087	1910	6	1	5	55	37	-20.385	169.346	35	6.81
16958086	1910	6	1	6	48	14	-20.636	169.613	35	6.73
610326362	1910	6	7	2	4	11	40.899	15.391	15	5.93
16958090	1910	6	16	4	16	21	36.185	-3.194	15	6.42
16958089	1910	6	16	6	30	42	-19.601	169.547	100	7.84
16958091	1910	6	17	5	28	7	22.505	120.673	35	6.29
16958092	1910	6	24	13	26	59	35.888	3.754	15	6.46
610326363	1910	6	25	19	20	46	40.805	34.629	15	6.51
16958094	1910	6	29	10	45	14	-30.907	-177.099	35	7.1
16958095	1910	7	7	8	16	42	-9.632	111.653	35	6.71
16958096	1910	7	12	7	36	1	37.569	77.181	15	6.14
16958098	1910	7	29	10	26	38	-5.297	142.437	15	6.58
16958100	1910	8	5	1	31	46	42.766	-127.376	15	6.49
16958101	1910	8	21	16	11	29	34.902	25.717	15	5.56
16958104	1910	9	1	0	44	29	20.741	121.617	15	6.99
16958105	1910	9	6	20	3	1	-27.421	-70.699	35	6.88
16958106	1910	9	7	7	11	10	-6.452	150.886	15	6.67
610326365	1910	9	8	2	48	45	44.236	140.551	15	5.99
16958107	1910	9	9	1	13	16	50.978	-176.351	35	7.02
16958109	1910	9	24	3	32	33	16.357	-98.005	20	6.51
16958113	1910	11	9	6	1	59	-16.273	167.013	20	7.41
16958114	1910	11	10	12	19	56	-14.351	167.263	35	6.66
16958115	1910	11	14	7	34	17	22.762	121.81	15	6.89
914214	1910	11	15	14	21	32	-59.11	-23.942	15	7.22
914215	1910	11	26	4	41	19	-14.532	167.057	35	7.18
16958123	1910	12	10	9	26	46	-10.68	162.292	35	7.46
16958124	1910	12	13	11	37	28	-7.842	30.955	15	7.29
16958127	1910	12	16	14	44	55	4.668	126.017	15	7.61
610643057	1910	12	18	2	45	6	4.841	125.537	35	6.5
16958129	1911	1	1	10	17	58	36.821	66.431	35	6.76
16958128	1911	1	1	14	59	17	36.817	66.673	35	6.4
16958130	1911	1	3	23	25	49	42.919	76.808	20	8.02
16958134	1911	2	18	18	41	9	38.289	72.596	15	7.33
610326370	1911	2	18	21	35	13	40.765	20.892	15	6.6
610326470	1911	2	19	7	18	5	44.228	12.026	15	5.55
16958135	1911	2	23	11	14	4	26.184	127.853	35	6.99
16958137	1911	3	24	3	18	54	24.04	121.189	15	6.08
16958138	1911	4	4	15	43	48	36.525	25.738	15	6.07
16958140	1911	4	10	18	42	19	8.971	-74.929	35	6.38
16958141	1911	4	18	18	14	28	31.017	56.95	15	6.5
610326372	1911	4	29	5	28	46	30.296	56.871	15	5.93
16958144	1911	4	30	20	42	27	36.803	27.683	15	5.62
16958145	1911	5	4	23	36	25	48.371	155.595	35	7.13
16958148	1911	6	7	11	2	49	18.362	-102.471	30	7.6
16958149	1911	6	15	14	25	58	29.141	128.803	150	7.9
16958150	1911	7	1	21	59	58	37.111	-121.637	10	6.45
610326374	1911	7	8	1	1	57	46.723	20.4	15	5.75
16958154	1911	7	12	4	7	38	8.488	127.029	15	7.7
16958156	1911	8	16	22	41	17	7.273	137.021	15	7.83
16958160	1911	9	8	22	44	4	50.903	156.859	80	6.48
610326376	1911	9	13	3	4	12	56.198	-156.274	35	6.12
16958162	1911	9	15	13	9	56	-20.18	-71.292	15	6.92
16958163	1911	9	17	3	26	15	50.124	-175.273	15	6.87
16958164	1911	9	22	5	1	23	60.888	-148.246	25	6.28
16958165	1911	10	6	10	16	11	17.33	-70.736	35	6.69
16958166	1911	10	13	2	33	12	43.391	146.181	35	6.91
16958167	1911	10	14	23	24	0	30.993	80.336	20	6.55
16958169	1911	10	20	17	43	52	-12.017	166.199	35	6.62
16958171	1911	11	8	14	11	44	35.548	141.381	15	6.55
16958172	1911	11	13	16	13	13	51.736	173.75	20	6.85
16958173	1911	11	16	21	25	51	48.304	9.049	15	5.93
16958175	1911	12	16	19	14	27	16.932	-100.665	30	7.37
16958176	1911	12	31	6	7	8	-2.305	140.669	15	6.81
16958177	1912	1	4	15	46	57	51.273	-177.928	35	6.77
16958178	1912	1	24	16	23	14	37.928	21.013	15	6.4
16958179	1912	1	31	20	11	46	60.678	-147.052	25	6.65
610326379	1912	2	13	8	3	50	40.904	21.11	15	5.97
16958180	1912	2	20	13	3	6	-28.633	27.846	15	6.11
16958181	1912	3	11	10	17	31	51.076	-130.514	15	6.5
16958186	1912	5	6	18	59	57	64.044	-19.633	15	6.81
16958187	1912	5	11	17	26	40	-6.409	70.783	10	6.22
16958188	1912	5	13	19	35	52	56.712	159.105	15	5.8
16958191	1912	5	23	2	24	3	21.031	96.859	15	7.88
16958194	1912	6	7	9	55	57	58.791	-154.984	15	6.31
16958195	1912	6	8	4	41	23	42.217	140.708	15	6.2
16958196	1912	6	10	16	6	11	58.548	-154.868	15	6.75
16958197	1912	6	12	12	43	26	15.155	-89.104	15	6.7
16958199	1912	7	7	7	57	39	63.604	-148.03	10	7.27
16958201	1912	7	18	21	16	8	-30.434	-111.516	10	6.29
16958203	1912	7	24	11	59	18	-4.896	-80.491	35	6.8
16958205	1912	8	9	1	28	51	40.444	26.784	15	7.23
610326492	1912	8	10	9	23	48	40.396	27.402	10	6.23
610326493	1912	8	10	18	30	17	40.969	27.703	10	5.58
16958206	1912	8	17	19	11	56	3.568	125.973	35	7.49
16958210	1912	9	11	0	47	48	4.151	96.374	75	6.35
610326388	1912	9	13	23	31	16	40.468	26.988	15	6.72
16958211	1912	9	29	20	51	23	7.301	136.855	15	7.64
610326389	1912	10	12	19	48	47	41.008	44.349	15	5.79
16958212	1912	10	18	11	54	44	52.79	173.275	20	6.71
16958214	1912	10	31	17	23	41	7.012	137.641	15	6.83
16958217	1912	11	7	7	40	21	57.592	-154.389	35	7.08
16958218	1912	11	19	13	55	3	19.561	-99.884	15	6.73
16958220	1912	12	5	12	27	25	56.827	-154.158	35	6.07
602790142	1912	12	8	23	49	11	40.129	143.01	15	6.7
16958223	1912	12	9	8	32	23	14.6	-92.71	50	6.9
16958224	1912	12	23	23	56	12	-0.676	122.745	35	6.67
16958225	1912	12	24	18	7	26	24.263	123.335	35	6.61
914025	1913	1	5	17	21	1	30.747	132.256	15	6.7
914026	1913	1	7	22	51	16	24.106	122.457	35	6.66
914028	1913	1	9	2	55	5	20.933	121.1	35	6.61
914029	1913	1	11	13	16	58	1.373	121.928	35	7.11
914030	1913	1	15	18	52	19	11.832	-89.243	15	6.4
914031	1913	1	19	17	5	33	1.698	85.93	10	6.77
914032	1913	1	19	23	47	47	47.086	151.477	15	6.53
914033	1913	1	27	19	38	38	38.822	42.387	15	5.72
914037	1913	2	20	8	59	6	42.522	141.947	15	6.84
914039	1913	2	27	16	22	57	14.69	39.38	10	5.92
16958235	1913	3	3	20	2	0	29.296	128.598	20	6.1
914041	1913	3	6	2	8	52	32.811	87.368	15	6.31
914042	1913	3	6	11	4	0	30.201	81.929	15	6.5
914043	1913	3	14	8	45	5	5.544	125.891	15	7.88
914044	1913	3	18	1	21	9	63.529	143.705	10	6.3
914046	1913	3	24	10	34	20	27.007	53.726	15	6.01
914047	1913	3	26	21	35	49	1.928	126.719	70	6.21
914048	1913	3	27	3	13	3	15.573	38.973	10	5.88
914049	1913	3	31	3	41	11	51.356	-179.454	35	6.9
914050	1913	4	2	23	52	39	32.448	133.859	15	6.35
914051	1913	4	7	13	47	10	28.652	142.262	15	6.51
914052	1913	4	8	2	20	35	28.785	140.485	80	6.17
914053	1913	4	13	6	40	28	32.033	131.795	35	7.21
914054	1913	4	14	7	48	23	23.827	122.073	15	6.34
914055	1913	4	18	13	13	21	8.21	125.725	15	6.27
914056	1913	4	18	19	2	33	9.459	126.515	15	6.62
914057	1913	4	20	3	13	41	41.915	45.123	15	5.75
914058	1913	4	24	10	15	25	9.895	125.813	15	6.63
914059	1913	4	24	12	15	27	9.737	126.309	15	6.43
914060	1913	4	25	17	56	33	9.265	126.843	15	7.19
914061	1913	4	26	4	6	12	9.337	126.265	35	6.23
914062	1913	4	26	4	21	5	8.698	127.845	15	6.45
914063	1913	4	28	18	39	26	9.275	125.291	15	6.33
914064	1913	4	29	3	8	22	9.734	127.012	15	6.21
914065	1913	4	29	23	29	10	51.458	173.004	15	6.23
914066	1913	4	30	11	34	24	50.328	-174.324	15	6.56
914068	1913	5	18	2	8	55	14.257	147.09	15	7.04
914069	1913	5	21	13	48	36	-6.511	153.1	15	6.31
914071	1913	5	24	23	24	54	-25.619	-72.245	15	6.89
914072	1913	5	29	13	29	25	24.329	122.941	35	6.38
914073	1913	5	30	11	47	12	-4.789	151.512	15	7.36
914074	1913	6	4	9	57	28	-2.866	144.025	15	6.75
914075	1913	6	14	8	37	4	15.804	-95.322	35	6.35
914076	1913	6	14	9	33	28	43.152	25.759	15	6.69
914077	1913	6	22	13	50	6	50.076	-178.773	15	6.85
914078	1913	6	26	4	57	18	-20.68	-173.808	25	7.79
914079	1913	6	28	8	52	50	39.474	16.211	15	5.69
914080	1913	7	6	16	12	49	-1.377	128.168	35	6.5
914082	1913	7	12	10	23	52	26.752	142.791	15	6.57
610326500	1913	7	20	12	6	17	48.308	8.651	15	5.53
914083	1913	7	22	6	34	33	-5.179	151.682	35	6.51
914084	1913	7	25	12	38	8	12.471	-80.815	15	6.15
914085	1913	7	26	20	51	14	66.974	-17.676	15	5.94
914086	1913	7	28	5	39	19	-17.167	-74.984	15	6.74
914087	1913	8	1	17	11	3	48.108	156.059	15	7.03
914088	1913	8	6	22	14	36	-16.534	-73.738	25	7.73
914089	1913	8	13	4	25	42	-6.746	105.213	35	6.63
914090	1913	8	15	19	3	9	26.843	142.612	35	6.38
914091	1913	9	3	20	51	27	-5.31	153.489	35	6.82
914092	1913	9	16	11	56	31	4.423	35.981	10	6.06
914093	1913	9	30	7	33	47	34.625	24.207	15	5.82
914094	1913	10	2	4	23	37	7.575	-79.838	15	6.63
610326393	1913	10	4	18	26	1	41.61	14.588	15	5.44
914095	1913	10	11	1	34	24	-6.763	147.381	35	6.76
914096	1913	10	11	4	6	16	-6.904	146.249	15	6.97
914097	1913	10	11	9	9	56	39.854	143.255	15	6.97
