date,value,val2,val3
2008/6/30,5063.9,5063.9,5063.9
2008/7/1,5059.3,5059.3,5059.3
2008/7/2,5066.3,5066.3,5066.3
2008/7/3,5111.6,5111.6,5111.6
2008/7/4,5168.2,5168.2,5168.2
2008/7/5,5159.9,5159.9,5159.9
2008/7/6,5116.4,5116.4,5116.4
2008/7/7,5142.2,5142.2,5142.2
2008/7/8,5146.7,5146.7,5146.7
2008/7/9,5147.9,5147.9,5147.9
2008/7/10,5173.1,5173.1,5173.1
2008/7/11,5203.3,5203.3,5203.3
2008/7/12,5208,5208,5208
2008/7/13,5221.3,5221.3,5221.3
2008/7/14,5256.6,5256.6,5256.6
2008/7/15,5291,5291,5291
2008/7/16,5316.9,5316.9,5316.9
2008/7/17,5368.8,5368.8,5368.8
2008/7/18,5396.4,5396.4,5396.4
2008/7/19,5344.5,5344.5,5344.5
2008/7/20,5378.8,5378.8,5378.8
2008/7/21,5402.3,5402.3,5402.3
2008/7/22,5453,5453,5453
2008/7/23,5435.7,5435.7,5435.7
2008/7/24,5402.8,5402.8,5402.8
2008/7/25,5441.9,5441.9,5441.9
2008/7/26,5474.6,5474.6,5474.6
2008/7/27,5533.3,5533.3,5533.3
2008/7/28,5319.6,5319.6,5319.6
2008/7/29,5091.6,5091.6,5091.6
2008/7/30,5124.6,5124.6,5124.6
2008/7/31,5166.6,5166.6,5166.6
2008/8/1,5194,5194,5194
2008/8/2,5241.2,5241.2,5241.2
2008/8/3,5313.9,5313.9,5313.9
2008/8/4,5402.3,5402.3,5402.3
2008/8/5,5477.9,5477.9,5477.9
2008/8/6,5583,5583,5583
2008/8/7,5667.1,5667.1,5667.1
2008/8/8,5732.8,5732.8,5732.8
2008/8/9,5788.3,5788.3,5788.3
2008/8/10,5840.5,5840.5,5840.5
2008/8/11,5877.2,5877.2,5877.2
2008/8/12,5901.4,5901.4,5901.4
2008/8/13,5943.1,5943.1,5943.1
2008/8/14,5986.2,5986.2,5986.2
2008/8/15,6035.3,6035.3,6035.3
2008/8/16,6007.5,6007.5,6007.5
2008/8/17,5921.1,5921.1,5921.1
2008/8/18,5937.7,5937.7,5937.7
2008/8/19,5981.4,5981.4,5981.4
2008/8/20,6034.9,6034.9,6034.9
2008/8/21,6066.4,6066.4,6066.4
2008/8/22,6090.8,6090.8,6090.8
2008/8/23,6097,6097,6097
2008/8/24,6085.6,6085.6,6085.6
2008/8/25,6055.3,6055.3,6055.3
2008/8/26,6071,6071,6071
2008/8/27,6062.6,6062.6,6062.6
