time;origin_data;departure;residual
2008-01-01;-18.8;22922.959745093627;-22941.759745093626
2008-01-02;-34.5;22922.959745093627;-22957.459745093627
2008-01-03;-44.8;22922.959745093627;-22967.759745093626
2008-01-04;-46.0;22922.959745093627;-22968.959745093627
2008-01-05;-42.5;22922.959745093627;-22965.459745093627
2008-01-06;-9.200000000000003;22922.959745093627;-22932.159745093628
2008-01-07;11.799999999999995;22922.959745093627;-22911.159745093628
2008-01-08;45.89999999999999;22922.959745093627;-22877.059745093626
2008-01-09;74.19999999999997;22922.959745093627;-22848.759745093626
2008-01-10;123.29999999999998;22922.959745093627;-22799.659745093628
2008-01-11;148.7;22922.959745093627;-22774.259745093626
2008-01-12;142.4;22922.959745093627;-22780.559745093626
2008-01-13;152.8;22922.959745093627;-22770.159745093628
2008-01-14;170.7;22922.959745093627;-22752.259745093626
2008-01-15;188.1;22922.959745093627;-22734.85974509363
2008-01-16;213.7;22922.959745093627;-22709.259745093626
2008-01-17;260.7;22922.959745093627;-22662.259745093626
2008-01-18;307.7;22922.959745093627;-22615.259745093626
2008-01-19;356.6;22922.959745093627;-22566.35974509363
2008-01-20;398.5;22922.959745093627;-22524.459745093627
2008-01-21;443.7;22922.959745093627;-22479.259745093626
2008-01-22;477.4;22922.959745093627;-22445.559745093626
2008-01-23;509.0;22922.959745093627;-22413.959745093627
2008-01-24;538.4;22922.959745093627;-22384.559745093626
2008-01-25;583.4;22922.959745093627;-22339.559745093626
2008-01-26;615.9;22922.959745093627;-22307.059745093626
2008-01-27;665.8;22922.959745093627;-22257.159745093628
2008-01-28;719.8;22922.959745093627;-22203.159745093628
2008-01-29;757.8;22922.959745093627;-22165.159745093628
2008-01-30;780.7;22922.959745093627;-22142.259745093626
2008-01-31;834.6;22922.959745093627;-22088.35974509363
2008-02-01;889.5;23337.996991095733;-22448.496991095733
2008-02-02;923.8;23337.996991095733;-22414.196991095734
2008-02-03;955.1;23337.996991095733;-22382.896991095735
2008-02-04;998.0;23337.996991095733;-22339.996991095733
2008-02-05;1025.3;23337.996991095733;-22312.696991095734
2008-02-06;1062.8;23337.996991095733;-22275.196991095734
2008-02-07;1099.1;23337.996991095733;-22238.896991095735
2008-02-08;1116.9;23337.996991095733;-22221.096991095732
2008-02-09;1151.3;23337.996991095733;-22186.696991095734
2008-02-10;1184.5;23337.996991095733;-22153.496991095733
2008-02-11;1211.9;23337.996991095733;-22126.096991095732
2008-02-12;1243.7;23337.996991095733;-22094.296991095733
2008-02-13;1303.4;23337.996991095733;-22034.596991095732
2008-02-14;1338.3;23337.996991095733;-21999.696991095734
2008-02-15;1381.9;23337.996991095733;-21956.096991095732
2008-02-16;1417.3;23337.996991095733;-21920.696991095734
2008-02-17;1452.4;23337.996991095733;-21885.596991095732
2008-02-18;1477.2;23337.996991095733;-21860.796991095733
2008-02-19;1536.8;23337.996991095733;-21801.196991095734
2008-02-20;1587.0;23337.996991095733;-21750.996991095733
2008-02-21;1624.3;23337.996991095733;-21713.696991095734
2008-02-22;1652.6;23337.996991095733;-21685.396991095735
2008-02-23;1690.7;23337.996991095733;-21647.296991095733
2008-02-24;1727.9;23337.996991095733;-21610.096991095732
2008-02-25;1741.2;23337.996991095733;-21596.796991095733
2008-02-26;1702.3;23337.996991095733;-21635.696991095734
2008-02-27;1669.4;23337.996991095733;-21668.596991095732
2008-02-28;1671.7;23337.996991095733;-21666.296991095733
2008-02-29;1683.0;23337.996991095733;-21654.996991095733
2008-03-01;1683.3;23773.238132190385;-22089.938132190386
2008-03-02;1703.8;23773.238132190385;-22069.438132190386
2008-03-03;1738.4;23773.238132190385;-22034.838132190383
2008-03-04;1773.1;23773.238132190385;-22000.138132190386
2008-03-05;1806.5;23773.238132190385;-21966.738132190385
2008-03-06;1836.0;23773.238132190385;-21937.238132190385
2008-03-07;1853.6;23773.238132190385;-21919.638132190386
2008-03-08;1903.2;23773.238132190385;-21870.038132190384
2008-03-09;1943.4;23773.238132190385;-21829.838132190383
2008-03-10;1997.8;23773.238132190385;-21775.438132190386
2008-03-11;2051.1;23773.238132190385;-21722.138132190386
2008-03-12;2104.1;23773.238132190385;-21669.138132190386
2008-03-13;2137.2;23773.238132190385;-21636.038132190384
