"ID","lon","lat","elev","grav","FreeAir","C_Bouguer"
30511,101.595,24.069,522.36,978593.7285,-137.1263073,-188.0099196
30500,101.572,24.062,485.3903,978590.3926,-151.401427,-193.4569963
30512,101.559,24.083,619.1636,978568.1802,-133.7410293,-192.631476
30513,101.542,24.109,628.6246,978564.7909,-135.9596646,-196.843304
30519,101.542,24.005,1860.8852,978313.961,0.369438225,-198.2050535
30520,101.541,23.983,1980.177,978286.6142,11.28975845,-203.2986032
30518,101.538,24.028,1651.3067,978347.4818,-32.29600548,-205.9747054
30517,101.533,24.05,1433.2648,978393.3911,-55.12402045,-204.1735714
30516,101.532,24.07,1233.2586,978436.5956,-74.96587943,-201.8670003
30521,101.526,23.964,2096.8202,978270.1058,32.0276312,-197.357113
30515,101.524,24.088,1076.8371,978470.6984,-90.33376626,-199.9606071
30514,101.519,24.112,844.157,978520.249,-114.1927274,-197.8576285
30522,101.508,23.955,2228.271,978244.0739,47.13588091,-196.8844458
30523,101.491,23.945,2318.6187,978222.603,54.19497732,-199.060718
30524,101.472,23.934,2078.8833,978273.1723,31.57155036,-196.3715604
30525,101.45,23.938,1893.3057,978310.4925,11.39021095,-197.6092927
30526,101.438,23.954,1441.2416,978394.5979,-45.01708767,-201.9913141
30527,101.417,23.948,1306.4297,978422.755,-58.0472566,-200.7448054
30528,101.395,23.946,1184.2854,978444.4297,-73.92206703,-202.9114198
30529,101.376,23.935,1143.8873,978454.2676,-75.81169167,-201.2330864
30614,101.363,23.923,1147.994,978452.7589,-75.25030295,-200.8728326
30613,101.35,23.943,974.9669,978483.9034,-98.83054965,-204.5229892
30612,101.333,23.959,893.055,978499.6253,-109.4548884,-204.7451195
30611,101.307,23.96,998.0259,978482.5088,-94.24867382,-202.6071975
30610,101.287,23.947,1050.3209,978470.2019,-89.54944566,-203.882852
30609,101.267,23.934,1361.4649,978411.242,-51.64447618,-201.975056
30608,101.248,23.938,1525.1409,978377.9223,-34.73997925,-204.2796009
30607,101.223,23.95,1637.3791,978357.5264,-21.31753304,-204.0035643
30606,101.197,23.95,1457.5513,978394.281,-40.0347856,-202.7649551
30605,101.185,23.933,1285.8026,978424.8994,-61.26230081,-203.7650403
30604,101.158,23.933,1202.1979,978439.2324,-72.722683,-205.7133066
30603,101.136,23.942,1085.9153,978464.7904,-83.64383979,-202.8862075
30602,101.131,23.961,1092.5842,978464.4521,-83.19692299,-203.1892507
30601,101.125,23.982,1037.9868,978475.579,-90.32280288,-203.2760949
30600,101.115,24.002,1041.5111,978474.3708,-91.78466881,-205.8300323
30615,101.09,24.013,1101.847,978459.9505,-88.32686001,-210.0208725
30616,101.069,23.998,1142.3154,978455.2289,-79.55637978,-205.8940431
30617,101.046,24.006,1378.0436,978409.9922,-52.60442447,-205.7440984
30618,101.026,24.019,1474.7024,978387.5703,-46.08041985,-210.5216517
30619,101.01,24.024,1585.9589,978369.1632,-30.5033619,-207.841375
30620,100.987,24.021,1757.8316,978335.3529,-11.09752639,-207.4998433
30621,100.964,24.026,2055.3333,978273.3396,18.30897525,-210.5664252
30622,100.942,24.039,2057.7141,978276.0415,20.87222436,-208.1680397
30623,100.919,24.042,1896.896,978307.4087,2.440103172,-208.3619333
30624,100.899,24.055,1683.6846,978349.888,-21.71607421,-209.1114467
30625,100.874,24.044,1473.2436,978390.9824,-44.79682309,-208.3394716
30626,100.852,24.039,1307.0461,978422.9361,-63.77829258,-208.1513905
30709,100.821,24.038,1170.888,978446.9078,-81.74640002,-211.125115
30708,100.805,24.031,1139.1402,978455.398,-82.5812827,-208.5611895
30707,100.788,24.03,1130.0074,978455.108,-85.62190058,-210.8177321
30706,100.77,24.028,1164.9178,978447.4862,-82.33855399,-210.9294607
30705,100.75,24.011,1287.562,978421.4593,-69.38659265,-212.0450154
30704,100.73,24.002,1386.6029,978402.1558,-57.53199463,-211.8401493
30703,100.707,23.991,1565.3075,978370.2296,-33.59330054,-208.600102
30702,100.685,23.977,1495.787,978383.2372,-41.0924368,-207.3495897
30701,100.674,23.956,1463.0951,978389.1919,-43.81554875,-206.2380714
30700,100.662,23.943,1488.4526,978384.5162,-39.7983477,-205.0321767
30710,100.65,23.962,1617.8466,978359.2714,-26.40130522,-206.0466418
30711,100.638,23.973,2013.7899,978280.8381,16.55040802,-207.0503294
30712,100.622,23.988,2068.613,978273.7801,25.39436475,-204.4449938
30723,100.608,24.004,1900.1016,978311.8289,10.39969077,-201.5517959
30722,100.581,24.001,1712.6655,978348.0688,-10.97091272,-201.9302587
30721,100.56,24.001,1448.6243,978398.8902,-41.59750605,-203.0287912
30720,100.547,23.98,1322.6538,978423.0331,-54.90779801,-202.0948909
30719,100.53,23.963,1213.6763,978443.7451,-66.67749465,-201.0797892
30718,100.515,23.943,1377.4483,978410.8594,-47.69871125,-201.5628783
30717,100.497,23.931,1402.1226,978405.4661,-44.67684753,-201.0746558
30716,100.48,23.915,1168.5293,978446.6004,-74.53788381,-203.8614719
30715,100.461,23.916,978.5188,978483.9253,-95.90583398,-202.7159607
30714,100.442,23.925,917.4568,978496.89,-102.3844593,-201.7231507
30713,100.42,23.915,839.7016,978513.7333,-108.8649813,-198.1868397
30801,100.399,23.912,1038.0858,978472.0118,-89.17238135,-202.1347495
30802,100.38,23.926,1362.0437,978408.1895,-53.98302474,-202.9730583
30803,100.359,23.94,1534.0781,978365.3195,-44.71976729,-211.0921491
30804,100.344,23.92,1645.1368,978342.0716,-32.3713169,-210.5140636
30805,100.328,23.901,1731.7256,978325.5752,-20.88842676,-208.1285623
30806,100.313,23.88,1612.2387,978346.9923,-34.9239111,-209.5556585
30807,100.299,23.863,1516.2054,978366.8287,-43.57529615,-208.1371787
30808,100.293,23.838,1538.7096,978361.9176,-39.87549997,-207.957961
30809,100.279,23.816,1574.131,978353.0777,-36.32137227,-209.3749836
30810,100.259,23.826,1463.7881,978372.2989,-51.80534102,-212.6454534
30811,100.24,23.839,1394.0878,978383.7996,-62.67379809,-214.8664035
30812,100.22,23.849,1591.4948,978348.9733,-37.27129788,-212.2505499
30813,100.199,23.858,1725.0271,978322.4847,-23.17184328,-214.6793112
30814,100.18,23.859,1933.9121,978280.9228,-0.373719584,-215.69226
30815,100.177,23.884,2158.2221,978233.6731,19.88382429,-219.545372
30816,100.162,23.904,1763.8117,978306.8217,-29.94578326,-225.2611056
30817,100.14,23.917,1592.1217,978341.877,-48.71835622,-224.7558156
30818,100.118,23.9,1512.5104,978355.2765,-58.7397301,-226.00455
30820,100.103,23.931,1412.3578,978373.8553,-73.13016613,-228.5986982
30821,100.103,23.962,1380.3476,978381.9988,-76.93735265,-228.0666646
30819,100.095,23.907,1416.4817,978366.289,-77.81865463,-234.166085
30822,100.093,23.996,1332.0938,978388.3991,-87.7022719,-234.4103503
30823,100.087,24.024,1253.1795,978405.8727,-96.45300913,-233.3649787
30800,100.084,23.888,1435.8925,978358.9179,-77.93146702,-236.6420927
30827,100.079,24.121,1095.7035,978444.8188,-112.6129868,-230.8424349
30824,100.077,24.045,1197.606,978416.923,-103.9581709,-234.5575508
30828,100.076,24.155,1081.9535,978449.6184,-114.3460795,-232.0944199
30826,100.071,24.093,1116.4122,978438.838,-110.3201213,-231.9691165
30825,100.063,24.069,1150.4681,978429.3893,-107.6477079,-232.9893033
30829,100.062,24.174,1008.3935,978462.0359,-125.9059558,-233.4393828
30830,100.037,24.183,980.0374,978463.1096,-134.1885658,-239.9874353
30831,100.015,24.181,956.5368,978466.4639,-137.950569,-240.3463755
30832,99.996,24.174,935.8596,978472.4647,-137.8577645,-236.1632204
30833,99.978,24.164,911.5628,978480.2127,-136.932542,-232.4827947
30834,99.954,24.148,964.3692,978474.3454,-125.4275787,-226.4203353
30835,99.936,24.128,875.2385,978492.1389,-133.7891638,-224.5187025
30836,99.923,24.111,854.4673,978495.5317,-135.6612543,-224.2302747
30837,99.891,24.104,849.2205,978493.3293,-139.0115926,-228.4179235
30838,99.871,24.091,810.0692,978502.2191,-141.3283184,-227.2042587
30839,99.85,24.099,798.6664,978503.3697,-144.2345347,-228.5866556
30840,99.829,24.109,790.4538,978510.1193,-140.6920639,-222.2597191
30841,99.809,24.107,1080.4371,978458.341,-102.858682,-217.631843
30842,99.791,24.095,1180.6672,978439.8739,-89.59424344,-216.7370523
30843,99.769,24.091,1308.9356,978413.5401,-76.08625772,-217.1233128
30844,99.747,24.09,1737.565,978328.2324,-29.10534437,-218.2311116
30916,99.73,24.125,2092.1004,978270.0698,19.72162911,-210.4868148
30918,99.71,24.176,2050.743,978285.335,18.7953112,-208.5731033
30919,99.709,24.198,1896.1871,978315.2479,-0.44260082,-210.6399948
30917,99.708,24.151,2112.2379,978269.6363,23.74679023,-209.2669766
30920,99.688,24.205,1961.9139,978301.6985,5.806666594,-211.8466523
30921,99.67,24.22,2133.5335,978270.3465,26.36901616,-209.7420482
30922,99.649,24.235,2158.2816,978262.7734,25.41449691,-211.7360804
30923,99.624,24.229,1852.9758,978324.463,-6.648154889,-210.0819894
30924,99.602,24.226,1663.0645,978363.5098,-25.97495443,-208.6852788
30925,99.582,24.23,1549.9696,978390.3958,-34.24464448,-205.4702362
30926,99.564,24.23,1329.3517,978437.8966,-54.80138072,-201.6787905
30915,99.541,24.219,1202.1777,978465.7321,-65.45748302,-197.5113139
30914,99.518,24.213,1094.4806,978487.841,-76.17100922,-196.1706005
30913,99.496,24.213,986.5785,978509.3478,-87.95672071,-195.8040115
30912,99.474,24.209,918.4363,978519.7227,-98.33747376,-198.1150648
30911,99.455,24.199,735.0123,978557.4122,-116.5729652,-194.9957992
30909,99.431,24.162,791.9837,978547.3091,-106.5999819,-192.253184
30910,99.427,24.187,746.0957,978557.0659,-112.6893641,-192.9248271
30908,99.413,24.134,950.2555,978519.4791,-83.70560155,-188.0521508
30907,99.397,24.114,798.344,978544.658,-104.0551302,-189.8583632
30906,99.375,24.102,797.2331,978538.4818,-109.7665654,-193.6026397
30905,99.369,24.068,918.597,978515.0435,-93.46904878,-192.3195098
30904,99.347,24.063,1056.0455,978490.3128,-75.45366806,-191.4718321
30903,99.325,24.056,1202.1499,978465.2414,-54.97683907,-187.8156169
30902,99.294,24.054,1338.8697,978430.0224,-47.88184399,-196.1045536
30901,99.274,24.04,1429.7363,978408.3709,-40.56104267,-198.5130641
30900,99.261,24.02,1449.4896,978400.8787,-40.61687894,-200.7294322
30945,99.253,24.012,1458.9286,978398.3801,-39.6668341,-200.597587
30944,99.244,23.996,1453.5686,978397.5318,-41.09531193,-201.616413
30943,99.238,23.972,1428.3286,978407.144,-37.6603957,-195.3624834
30942,99.215,23.971,1719.4959,978343.5582,-11.36335107,-201.7085883
30941,99.196,23.954,1875.417,978312.9622,7.271240674,-200.8795581
30940,99.178,23.94,2047.7671,978277.1743,25.57572783,-201.5899823
30939,99.154,23.936,1822.8718,978322.7317,2.039554604,-200.6197097
30938,99.13,23.931,1929.4782,978297.7574,10.27997787,-204.289081
30937,99.111,23.918,1905.9566,978302.9825,9.120476028,-202.4653899
30936,99.089,23.908,1669.0503,978351.0529,-15.2110424,-199.9928689
30935,99.07,23.886,1498.2133,978383.5141,-33.97662935,-199.16537
30934,99.048,23.885,988.6769,978488.5338,-86.09037781,-192.2531165
30933,99.024,23.888,798.0925,978533.058,-100.5746786,-183.0757572
30932,99.002,23.874,751.9838,978531.625,-115.300647,-194.2464868
30931,98.978,23.881,653.0414,978558.3798,-119.5465752,-186.3616264
30930,98.959,23.894,706.315,978549.6583,-112.6967592,-185.8302057
30929,98.938,23.902,803.2991,978534.783,-98.17887701,-186.0119231
30928,98.918,23.913,859.3697,978521.0742,-95.32126345,-189.2239326
30927,98.889,23.912,931.152,978516.0208,-78.1581764,-180.3623127
