"lon","lat","elev","grav","name"
102.47259,24.40155,1776.987,978475.835,3014
102.47415,24.4013,1773.103,978476.067,3015
102.47583,24.40083,1777.576,978474.827,3016
102.47841,24.40225,1803.775,978470.253,3017
102.47953,24.40122,1811.8,978468.424,3018
102.4804,24.39983,1822.755,978465.82,3019
102.48174,24.39977,1823.599,978465.013,3020
102.48309,24.39878,1816.996,978466.473,3021
102.48465,24.39834,1809.833,978467.963,3022
102.48597,24.39705,1776.881,978469.761,3023
102.48462,24.39426,1799.13,978474.751,30231
102.4858,24.39341,1769.047,978476.114,3024
102.4876,24.39305,1762.612,978477.012,3025
102.48905,24.39294,1761.827,978476.543,3026
102.4903,24.39228,1755.383,978477.912,3027
102.49156,24.39158,1738.436,978480.925,3028
102.49305,24.39128,1734.29,978481.113,3029
102.49453,24.39112,1727.425,978482.424,3030
102.49653,24.39223,1706.07,978486.669,3031
102.4981,24.39102,1696.712,978487.723,3032
102.49929,24.39041,1688.907,978488.832,3033
102.50051,24.38946,1682.458,978488.75,3034
102.50166,24.38848,1675.719,978488.24,3035
102.50294,24.3874,1670.708,978486.744,3036
102.50418,24.38675,1662.547,978486.303,3037
102.50597,24.38752,1653.44,978486.793,3038
102.5077,24.38734,1643.827,978487.403,3039
102.50895,24.38683,1637.342,978487.97,3040
102.46611,24.35616,1614.095,978508.302,4018
102.46699,24.3546,1614.587,978508.44,4019
102.4688,24.35537,1614.817,978508.447,4020
102.47058,24.35645,1615.649,978507.239,4021
102.47326,24.35636,1616.259,978507.689,4022
102.47647,24.35746,1620.523,978506.209,4023
102.47665,24.35533,1616.289,978507.61,4024
102.47792,24.35458,1617.925,978507.047,4025
102.47958,24.35424,1620.064,978506.462,4026
102.48069,24.35217,1621.529,978506.432,4027
102.48195,24.35235,1620.33,978506.331,4028
102.48362,24.35085,1616.871,978506.226,4029
102.48464,24.34954,1618.484,978503.768,4030
102.48613,24.34861,1618.124,978502.074,4031
102.48742,24.34787,1617.423,978500.954,4032
102.48873,24.34714,1617.664,978500.098,4033
102.49051,24.34614,1618.167,978499.06,4034
102.49196,24.3453,1618.743,978498.274,4035
102.49363,24.34437,1619.948,978497.502,4036
102.4949,24.34358,1619.419,978496.896,4037
102.49665,24.34305,1619.686,978496.48,4038
102.49748,24.34142,1619.397,978496.356,4039
102.54176,24.41791,1644.784,978486.411,7101
102.54,24.41832,1644.719,978486.054,7102
102.53791,24.4188,1644.642,978485.687,7103
102.53555,24.41936,1644.644,978485.481,7104
102.53357,24.41978,1644.934,978485.47,7105
102.53163,24.42028,1645.07,978485.597,7106
102.52953,24.42077,1645.598,978486.067,7107
102.52732,24.42128,1646.493,978486.713,7108
102.52569,24.42167,1647.42,978487.112,7109
102.5241,24.42205,1650.497,978487.517,7110
102.52197,24.42246,1657.582,978487.933,7111
102.52012,24.42314,1659.938,978489.507,7112
102.51848,24.4237,1662.348,978490.593,7113
102.51662,24.42428,1665.368,978490.976,7114
102.46533,24.35773,1612.84,978508.282,4017
102.46472,24.3608,1611.801,978508.03,4016
102.46347,24.36208,1610.699,978508.578,4015
102.46174,24.36227,1610.443,978509.094,4014
102.46033,24.36359,1609.977,978509.069,4013
102.45874,24.36456,1610.023,978509.188,4012
102.45778,24.36585,1610.608,978509.231,4011
102.45598,24.36578,1608.863,978508.927,4010
102.45385,24.3666,1608.615,978508.458,4009
102.45003,24.36525,1606.346,978509.363,4007
102.44802,24.36391,1606.96,978507.867,4006
102.44605,24.36279,1607.513,978509.058,4005
102.44388,24.36319,1607.028,978508.736,4004
102.44207,24.36384,1606.817,978508.096,4003
102.44008,24.36387,1606.041,978508.872,4002
102.43781,24.36319,1606.554,978509.512,4001
102.54498,24.42297,1651.12,978486.547,7001
102.54133,24.42305,1650.394,978485.672,7003
102.53973,24.42344,1649.979,978485.431,7004
102.53833,24.42425,1649.945,978485.433,7005
102.53679,24.42472,1650.014,978485.295,7006
102.53402,24.42644,1650.357,978485.522,7008
102.53219,24.42734,1651.15,978485.949,7009
102.53064,24.42803,1652.044,978486.434,7010
102.5283,24.42963,1655.272,978487.437,7012
102.52697,24.42985,1661.867,978487.219,7013
102.52507,24.42974,1673.692,978486.339,7014
102.52266,24.43017,1685.373,978486.092,7015
102.52061,24.4307,1696.995,978485.446,7016
102.51867,24.43142,1707.555,978484.748,7017
102.54103,24.4241,1650.752,978485.594,87001
102.54153,24.42547,1651.483,978485.803,87002
102.53897,24.42557,1650.629,978485.517,87003
102.53962,24.427,1652.172,978485.51,87004
102.54032,24.42854,1653.442,978485.641,87005
102.54099,24.43,1654.554,978485.74,87006
102.54164,24.43142,1655.813,978485.763,87007
102.52905,24.43102,1656.393,978487.203,87009
102.53085,24.43361,1657.031,978486.962,87010
102.52995,24.43228,1657.774,978486.856,87011
102.53153,24.43491,1659.429,978486.652,87012
102.53202,24.43634,1659.925,978486.805,87013
102.53297,24.43764,1661.488,978486.56,87014
102.52984,24.435,1659.449,978487.277,87015
102.52831,24.43559,1661.609,978487.935,87016
102.52669,24.43623,1667.997,978488.032,87017
102.52502,24.43689,1676.696,978487.878,87018
102.52374,24.43565,1682.177,978487.158,87019
102.56902,24.4395,1676.861,978491.902,13001
102.56591,24.43759,1671.279,978491.261,13002
102.56473,24.43687,1669.802,978491.127,13003
102.56354,24.43572,1667.655,978491.079,13004
102.56181,24.43449,1664.537,978491.203,13005
102.55962,24.43376,1663.334,978490.775,13006
102.55726,24.43241,1659.713,978490.482,13007
102.5562,24.43084,1658.357,978490.2,13008
102.5534,24.43017,1657.346,978489.26,13009
102.55181,24.42858,1656.246,978488.658,13010
102.55013,24.4273,1654.907,978488.072,13011
102.54869,24.42568,1652.6,978487.83,13012
102.54764,24.42447,1651.617,978487.469,13013
102.54605,24.4231,1651.372,978486.818,13014
102.54595,24.42075,1648.89,978487.037,13015
102.54416,24.41952,1648.189,978486.416,13016
102.54263,24.41804,1646.83,978486.12,13017
102.54091,24.41643,1645.174,978485.98,13018
102.53999,24.41459,1643.673,978486.047,13019
102.53833,24.41317,1641.546,978486.134,13020
102.53635,24.4118,1640.636,978485.963,13021
102.53498,24.40985,1638.161,978486.229,13022
102.53339,24.40885,1637.718,978486.174,13023
102.53103,24.40634,1636.757,978486.402,13024
102.5304,24.40471,1635.966,978486.696,13025
102.52943,24.40323,1635.433,978486.906,13026
102.53443,24.40091,1633.418,978488.396,13027
102.53356,24.39909,1632.435,978488.755,13028
102.53281,24.3972,1631.745,978489.167,13029
102.53219,24.3951,1630.935,978489.517,13030
102.53186,24.39296,1630.228,978489.894,13031
102.53155,24.39115,1629.647,978490.171,13032
102.53127,24.38931,1629.026,978490.508,13033
102.53088,24.38686,1628.107,978490.885,13034
102.53047,24.38541,1627.536,978491.143,13035
102.53002,24.38396,1627.074,978491.335,13036
102.52936,24.38186,1626.266,978491.649,13037
102.52882,24.38013,1625.708,978491.935,13038
102.52813,24.37792,1625.854,978492.173,13039
102.52662,24.3759,1626.096,978492.159,13040
102.52542,24.37312,1623.329,978493.072,13041
102.52437,24.37126,1622.3,978493.454,13042
102.52296,24.36894,1623.806,978493.373,13043
102.52158,24.36665,1622.526,978493.965,13044
102.52025,24.36436,1622.682,978494.21,13045
102.51642,24.36238,1622.257,978493.962,13046
102.51545,24.36153,1622.408,978493.833,13047
102.51411,24.36035,1622.301,978493.758,13048
102.51241,24.35883,1620.327,978494.097,13049
102.51066,24.3573,1620.335,978494.166,13050
102.50907,24.3559,1620.121,978494.331,13051
102.50765,24.35464,1619.762,978494.553,13052
102.50596,24.3531,1620.614,978494.65,13053
102.50534,24.35174,1621.182,978494.755,13054
102.50455,24.35005,1620.966,978495.048,13055
102.50288,24.34831,1620.728,978495.145,13056
102.50126,24.34663,1620.505,978495.419,13057
102.49842,24.34528,1620.146,978495.866,13058
102.4974,24.34403,1619.696,978496.263,13059
102.49665,24.34304,1619.695,978496.491,13060
102.53244,24.32186,1656.486,978497.57,4060
102.5308,24.32173,1649.462,978499.047,4059
102.52924,24.32255,1641.939,978500.184,4058
102.52746,24.32355,1635.727,978501.488,4057
102.52558,24.32481,1631.869,978501.258,4056
102.52393,24.32581,1631.48,978500.685,4055
102.52215,24.32682,1630.773,978499.983,4054
102.52056,24.32782,1635.925,978497.751,4053
102.51853,24.32885,1635.692,978496.354,4052
102.51666,24.32982,1626.561,978497.441,4051
102.51489,24.3308,1628.022,978496.41,4050
102.51314,24.33181,1627.015,978496.796,4049
102.51137,24.33271,1622.259,978496.763,4048
102.50946,24.33377,1622.11,978496.392,4047
102.5077,24.33481,1619.676,978496.587,4046
102.50615,24.33569,1618.959,978496.507,4045
102.50414,24.33685,1619.101,978496.229,4044
102.5028,24.33764,1622.581,978496.079,4043
102.5013,24.33852,1622.048,978496.072,4042
102.4997,24.33933,1617.546,978496.141,4041
102.49663,24.33966,1619.56,978496.617,13061
102.49553,24.33767,1619.555,978496.925,13062
102.49281,24.33607,1619.92,978497.971,13063
102.49136,24.33471,1620.325,978498.717,13064
102.48561,24.32029,1630.086,978499.849,13071
102.48453,24.31787,1637.89,978499.207,13072
102.4839,24.31562,1640.612,978499.357,13073
102.48327,24.31338,1644.594,978499.336,13074
102.48257,24.31054,1650.817,978499.024,13075
102.48139,24.30855,1657.468,978498.33,13076
102.47971,24.30683,1666.894,978496.567,13077
102.48678,24.32249,1628.138,978499.976,13070
102.48802,24.32445,1625.84,978499.396,13069
102.48872,24.32627,1625.199,978498.887,13068
102.4898,24.32842,1621.583,978498.848,13067
102.49077,24.33047,1621.662,978498.406,13066
102.49158,24.33248,1620.733,978498.078,13065
102.49877,24.34782,1618.235,978496.002,9001
102.49768,24.34869,1618.267,978496.17,9002
102.49674,24.34946,1618.293,978496.262,9003
102.49543,24.35009,1617.918,978496.717,9004
102.49445,24.35041,1617.837,978497.039,9005
102.49293,24.35099,1617.412,978497.643,9006
102.49265,24.35234,1619.895,978497.296,9007
102.4916,24.35323,1621.594,978497.902,9008
102.49059,24.35418,1627.229,978497.574,9009
102.48928,24.35349,1629.874,978498.064,9010
102.48887,24.35475,1637.275,978496.843,9011
102.48788,24.35444,1644.358,978496.173,9012
102.48636,24.35477,1648.598,978496.681,9013
102.48513,24.35571,1663.596,978494.176,9014
102.4845,24.35704,1674.787,978491.841,9015
102.48081,24.35851,1662.346,978497.344,9017
102.53438,24.41485,1641.395,978485.552,87101
102.53197,24.41657,1642.801,978485.392,87102
102.53074,24.41579,1642.304,978485.461,87103
102.53131,24.41446,1641.241,978485.517,87104
102.53094,24.41331,1640.758,978485.55,87105
102.53037,24.41172,1639.548,978485.665,87106
102.52962,24.40955,1638.161,978485.934,87107
102.52749,24.40761,1636.561,978486.338,87108
102.52827,24.40975,1637.842,978486.019,87109
102.52904,24.41193,1639.307,978485.789,87110
102.52994,24.4143,1640.887,978485.659,87111
102.53073,24.4166,1642.399,978485.632,87112
102.52681,24.41917,1644.588,978486.504,87113
102.52621,24.41758,1643.577,978486.447,87114
102.52561,24.41604,1642.355,978486.472,87115
102.52503,24.41456,1641.596,978486.385,87116
102.52441,24.41318,1641.129,978486.47,87117
102.52379,24.4114,1639.949,978486.568,87118
102.5231,24.40978,1639.864,978486.437,87119
102.52118,24.41277,1648.491,978485.909,87120
102.52107,24.41422,1651.407,978485.957,87121
102.5219,24.41673,1651.602,978486.313,87122
102.52259,24.41876,1651.805,978486.691,87123
102.52165,24.42155,1654.861,978488.2,87124
102.52223,24.42288,1658.428,978487.921,87125
102.52297,24.42469,1665.848,978486.857,87126
102.52365,24.42645,1669.671,978486.574,87127
102.51033,24.38636,1633.1,978488.35,3041
102.51201,24.38522,1628.102,978488.996,3042
102.51337,24.38377,1627.086,978489.142,3043
102.51543,24.38328,1625.925,978489.507,3044
102.51696,24.3829,1625.896,978489.731,3045
102.51874,24.38246,1625.758,978490.053,3046
102.52063,24.38199,1625.594,978490.481,3047
102.5222,24.3816,1625.753,978490.722,3048
102.5241,24.38115,1627.729,978490.57,3049
102.52511,24.37957,1627.731,978490.936,3050
102.52598,24.37798,1626.912,978491.446,3051
102.52631,24.37699,1626.531,978491.721,3052
102.52662,24.37591,1626.078,978492.152,3053
102.52775,24.37402,1625.95,978492.791,3054
102.52838,24.37279,1625.813,978493.299,3055
102.54394,24.39046,1633.976,978493.1,8001
102.5425,24.39119,1633.145,978492.725,8002
102.5408,24.39193,1631.22,978492.4,8003
102.53917,24.39144,1630.526,978491.947,8004
102.53574,24.39323,1631.287,978490.555,8005
102.53435,24.39417,1631.221,978490.081,8006
102.53221,24.39509,1631.002,978489.523,8007
102.52997,24.39615,1630.666,978488.979,8008
102.52841,24.3971,1630.535,978488.647,8009
102.53935,24.38039,1628.582,978493.216,8010
102.53511,24.38375,1627.997,978492.056,8012
102.53307,24.38493,1628.33,978491.426,8013
102.5313,24.38635,1627.864,978491.01,8014
102.52989,24.38729,1628.332,978490.607,8015
102.53092,24.38904,1628.991,978490.471,8016
102.52946,24.39027,1628.784,978490.005,8017
102.52723,24.39163,1628.933,978489.493,8018
102.52531,24.39312,1629.181,978488.952,8019
102.52312,24.39442,1629.969,978488.439,8020
102.52096,24.39589,1630.748,978488.028,8021
102.51909,24.39716,1631.516,978487.886,8022
102.51719,24.39846,1632.122,978488.142,8023
102.51489,24.40001,1634.434,978488.709,8024
102.51307,24.39977,1638.316,978488.979,8025
102.51067,24.39947,1646.236,978488.979,8026
102.50836,24.39998,1649.573,978491.123,8027
102.5063,24.40017,1650.425,978492.445,8028
102.50599,24.40283,1661.84,978491.476,8029
102.50477,24.40393,1666.376,978491.648,8030
102.50308,24.40408,1675.694,978490.883,8031
102.50119,24.40375,1686.248,978489.804,8032
102.49967,24.40377,1699.082,978487.611,8033
102.4982,24.40437,1720.567,978483.394,8034
102.51352,24.39217,1629.673,978489.189,8035
102.51446,24.3917,1627.915,978489.198,8036
102.51638,24.39091,1627.187,978489.067,8037
102.51191,24.38801,1629.055,978489.068,8038
102.51342,24.38789,1627.082,978489.306,8039
102.51461,24.3879,1626.348,978489.365,8040
