time;origin_data;despiked;flag
2008-06-17;5270.5;4476.800000000001;0
2008-06-18;5285.5;4491.800000000001;0
2008-06-19;5295.8;4502.100000000001;0
2008-06-20;5327.8;4534.100000000001;0
2008-06-21;5343.8;4550.100000000001;0
2008-06-22;5119.7;4572.300000000001;2
2008-06-23;4948.6;4600.700000000001;2
2008-06-24;4914.7;4635.300000000001;1
2008-06-25;4955.5;4676.100000000001;0
2008-06-26;4951.0;4671.600000000001;0
2008-06-27;4971.8;4692.4000000000015;0
2008-06-28;5007.4;4728.000000000001;0
2008-06-29;5044.9;4765.500000000001;0
2008-06-30;5063.9;4784.500000000001;0
2008-07-01;5059.3;4779.9000000000015;0
2008-07-02;5066.3;4786.9000000000015;0
2008-07-03;5111.6;4832.200000000002;0
2008-07-04;5168.2;4888.800000000001;0
2008-07-05;5159.9;4880.500000000001;0
2008-07-06;5116.4;4837.000000000001;0
2008-07-07;5142.2;4862.800000000001;0
2008-07-08;5146.7;4867.300000000001;0
2008-07-09;5147.9;4868.500000000001;0
2008-07-10;5173.1;4893.700000000002;0
2008-07-11;5203.3;4923.9000000000015;0
2008-07-12;5208.0;4928.600000000001;0
2008-07-13;5221.3;4941.9000000000015;0
2008-07-14;5256.6;4977.200000000002;0
2008-07-15;5291.0;5011.600000000001;0
2008-07-16;5316.9;5037.500000000001;0
2008-07-17;5368.8;5089.4000000000015;0
2008-07-18;5396.4;5117.000000000001;0
2008-07-19;5344.5;5065.100000000001;0
2008-07-20;5378.8;5099.4000000000015;0
2008-07-21;5402.3;5122.9000000000015;0
2008-07-22;5453.0;5173.600000000001;0
2008-07-23;5435.7;5156.300000000001;0
2008-07-24;5402.8;5123.4000000000015;0
2008-07-25;5441.9;5162.500000000001;0
2008-07-26;5474.6;5195.200000000002;0
2008-07-27;5533.3;5253.9000000000015;0
2008-07-28;5319.6;5308.425000000001;2
2008-07-29;5091.6;5358.7750000000015;2
2008-07-30;5124.6;5404.950000000002;1
2008-07-31;5166.6;5446.950000000002;0
2008-08-01;5194.0;5474.350000000001;0
2008-08-02;5241.2;5521.550000000001;0
2008-08-03;5313.9;5594.250000000001;0
2008-08-04;5402.3;5682.6500000000015;0
2008-08-05;5477.9;5758.250000000001;0
2008-08-06;5583.0;5852.850000000001;1
2008-08-07;5667.1;5947.450000000002;0
2008-08-08;5732.8;6013.1500000000015;0
2008-08-09;5788.3;6068.6500000000015;0
2008-08-10;5840.5;6120.850000000001;0
2008-08-11;5877.2;6157.550000000001;0
2008-08-12;5901.4;6181.750000000001;0
2008-08-13;5943.1;6223.450000000002;0
2008-08-14;5986.2;6266.550000000001;0
2008-08-15;6035.3;6315.6500000000015;0
2008-08-16;6007.5;6287.850000000001;0
2008-08-17;5921.1;6201.450000000002;0
2008-08-18;5937.7;6218.050000000001;0
2008-08-19;5981.4;6261.750000000001;0
2008-08-20;6034.9;6315.250000000001;0
2008-08-21;6066.4;6346.750000000001;0
2008-08-22;6090.8;6371.1500000000015;0
2008-08-23;6097.0;6377.350000000001;0
2008-08-24;6085.6;6365.950000000002;0
2008-08-25;6055.3;6335.6500000000015;0
2008-08-26;6071.0;6351.350000000001;0
2008-08-27;6062.6;6342.950000000002;0
2008-08-28;6050.3;6330.6500000000015;0
2008-08-29;6073.6;6353.950000000002;0
2008-08-30;6078.5;6358.850000000001;0
2008-08-31;6071.6;6351.950000000002;0
2008-09-01;6096.2;6376.550000000001;0
2008-09-02;6127.4;6407.750000000001;0
2008-09-03;6140.9;6421.250000000001;0
2008-09-04;5998.1;6332.000000000001;1
2008-09-05;5962.4;6242.750000000001;0
2008-09-06;5972.6;6252.950000000002;0
2008-09-07;6033.4;6313.750000000001;0
2008-09-08;6105.1;6385.450000000002;0
2008-09-09;6200.4;6480.750000000001;0
2008-09-10;6295.1;6575.450000000002;0
2008-09-11;6354.2;6634.550000000001;0
2008-09-12;6387.2;6667.550000000001;0
2008-09-13;6395.3;6675.6500000000015;0
2008-09-14;6398.1;6678.450000000002;0
2008-09-15;6440.8;6721.1500000000015;0
2008-09-16;6486.0;6766.350000000001;0
2008-09-17;6524.3;6804.6500000000015;0
2008-09-18;6550.5;6830.850000000001;0
2008-09-19;6532.9;6813.250000000001;0
2008-09-20;6560.2;6840.550000000001;0
2008-09-21;6581.5;6861.850000000001;0
2008-09-22;6618.0;6898.350000000001;0
2008-09-23;6656.7;6937.050000000001;0
2008-09-24;6683.3;6963.6500000000015;0
2008-09-25;6691.3;6971.6500000000015;0
2008-09-26;6671.9;6952.250000000001;0
2008-09-27;6653.3;6933.6500000000015;0
2008-09-28;6662.8;6943.1500000000015;0
2008-09-29;6678.5;6958.850000000001;0
2008-09-30;6695.2;6975.550000000001;0
2008-10-01;6723.5;7003.850000000001;0
2008-10-02;6748.4;7028.750000000001;0
2008-10-03;6792.8;7073.1500000000015;0
2008-10-04;6817.2;7097.550000000001;0
2008-10-05;6813.3;7093.6500000000015;0
2008-10-06;6826.1;7106.450000000002;0
2008-10-07;6833.2;7113.550000000001;0
2008-10-08;6822.5;7102.850000000001;0
2008-10-09;6806.6;7086.950000000002;0
2008-10-10;6796.4;7076.750000000001;0
2008-10-11;6782.6;7062.950000000002;0
2008-10-12;6778.4;7058.750000000001;0
2008-10-13;6781.9;7062.250000000001;0
2008-10-14;6773.5;7053.850000000001;0
2008-10-15;6796.6;7076.950000000002;0
2008-10-16;6826.6;7106.950000000002;0
2008-10-17;6830.4;7110.750000000001;0
2008-10-18;6820.6;7100.950000000002;0
2008-10-19;6829.0;7109.350000000001;0
2008-10-20;6829.1;7109.450000000002;0
2008-10-21;6865.8;7146.1500000000015;0
2008-10-22;6866.7;7147.050000000001;0
2008-10-23;6845.4;7125.750000000001;0
