time;origin_data;trend;seasonal;residual
2016-04-08;32724.11249999998;33275.87202651912;246.19312346095865;-797.9526499800999
2016-04-09;32796.61249999998;33285.980087636104;257.9817884680146;-747.3493761041377
2016-04-10;32830.01249999998;33296.15801176677;258.69411474530875;-724.8396265120953
2016-04-11;32904.812499999985;33306.484429048105;258.23164650205877;-659.9035755501784
2016-04-12;32988.912499999984;33316.986736740415;265.6796888441062;-593.7539255845371
2016-04-13;33077.21249999999;33327.62383895328;278.3518407751976;-528.7631797284917
2016-04-14;33139.312499999985;33338.413269933255;288.7769192318167;-487.87768916508617
2016-04-15;33214.21249999999;33349.42845433788;290.7297685477172;-425.945722885612
2016-04-16;33282.312499999985;33360.488844221974;295.26373866062454;-373.4400828826135
2016-04-17;33339.482499999984;33371.54101492799;306.8676838669353;-338.92619879494396
2016-04-18;33385.72249999998;33382.58222672988;314.6078930832057;-311.46761981310306
2016-04-19;33421.03249999998;33393.63905497013;316.2860475049588;-288.8926024751113
2016-04-20;33445.412499999984;33404.67095170354;313.74851076855055;-273.00696247210806
2016-04-21;33469.792499999974;33415.80668405337;312.33104875194897;-258.3452328053469
2016-04-22;33494.17249999997;33427.00816982788;305.681214381671;-238.51688420958044
2016-04-23;33518.55249999997;33438.05979258868;298.40021562782925;-217.9075082165436
2016-04-24;33542.932499999966;33449.06867562346;295.8700699250443;-202.00624554853528
2016-04-25;33575.102499999964;33459.880572356844;293.5061695522785;-178.2842419091579
2016-04-26;33615.06249999996;33470.72233210396;289.38349707490096;-145.04332917889377
2016-04-27;33662.81249999996;33481.445461714065;293.1603289561822;-111.79329067028402
2016-04-28;33718.352499999964;33492.20530365296;298.57628661578923;-72.42909026878618
2016-04-29;33781.682499999966;33503.001036002795;313.6140549852392;-34.9325909880684
2016-04-30;33852.80249999997;33513.66991903759;313.22032895866937;25.912252003711956
2016-05-01;33931.712499999965;33524.19414453811;316.5817597191534;90.9365957427027
2016-05-02;34018.41249999996;33534.67973990165;316.256525722475;167.47623437583673
2016-05-03;34046.212499999965;33545.251088689845;330.03996034347716;170.92145096664257
2016-05-04;34088.81249999996;33555.68928679311;349.6441919756895;183.4790212311649
2016-05-05;34142.91249999996;33566.16501914295;373.62254565024296;203.12493520676844
2016-05-06;34168.212499999965;33576.76869669827;380.95604253774843;210.4877607639438
2016-05-07;34132.91249999996;33587.47127836318;372.59534266311044;172.84587897367504
2016-05-08;34075.212499999965;33598.2653668774;355.3857013189841;121.56143180358089
2016-05-09;34017.51249999997;33609.15856498066;337.1744410458416;71.17949397346797
2016-05-10;34013.91249999997;33619.96203705653;317.0079379333486;76.94252501008913
2016-05-11;34050.81249999997;33630.5892762557;293.23025175733915;126.99297198693398
2016-05-12;34054.81249999997;33641.02843326308;275.62001265480774;138.1640540820796
2016-05-13;34004.112499999974;33651.24539848964;266.2760749221383;86.59102658819353
2016-05-14;33969.51249999997;33661.12263768879;249.68501390179853;58.704848409375984
2016-05-15;33917.01249999997;33670.89850702493;242.32413968095932;3.789853294075897
2016-05-16;33891.612499999974;33680.898759922726;234.29930531068095;-23.585565233432874
2016-05-17;33895.81249999997;33691.13051966982;237.25772747838442;-32.575747148236644
2016-05-18;33873.21249999997;33701.547320512815;222.22336633351227;-50.558186846354545
2016-05-19;33877.01249999997;33712.040778890056;199.48366894953483;-34.51194783962251
2016-05-20;33856.412499999984;33722.633744116596;175.74891552571268;-41.970159642324745
2016-05-21;33824.01249999997;33733.298928521246;148.4425058129641;-57.72893433424224
2016-05-22;33813.912499999984;33744.02959237793;123.49298277518999;-53.61007515313274
2016-05-23;33828.912499999984;33754.826785914986;115.23879182542115;-41.153077740422674
2016-05-24;33890.912499999984;33765.57649086757;103.46851121188898;21.86749792052491
