,x,y,z,g1,g2
0,-5000.0,-5000.0,0.0,-0.6327753718592662,-0.111805358029066
1,-4898.989898989899,-5000.0,0.0,-0.6919543123493596,-0.17530354875138343
2,-4797.979797979798,-5000.0,0.0,-0.7548527057487162,-0.24231362947773905
3,-4696.969696969697,-5000.0,0.0,-0.8211164033769534,-0.3124800735695523
4,-4595.959595959596,-5000.0,0.0,-0.8901744941766577,-0.3852375949361107
5,-4494.949494949495,-5000.0,0.0,-0.9611976477374288,-0.45975470079691183
6,-4393.939393939394,-5000.0,0.0,-1.0330642479407561,-0.5349172966983974
7,-4292.929292929293,-5000.0,0.0,-1.104343651824327,-0.6092908133899266
8,-4191.919191919192,-5000.0,0.0,-1.1733074233374354,-0.6811582546946089
9,-4090.909090909091,-5000.0,0.0,-1.2379782450634345,-0.7485533873561963
10,-3989.89898989899,-5000.0,0.0,-1.2962211358348767,-0.8094523070841464
11,-3888.8888888888887,-5000.0,0.0,-1.3458728738135963,-0.8615493096294249
12,-3787.878787878788,-5000.0,0.0,-1.3848957770491894,-0.9027209277474686
13,-3686.868686868687,-5000.0,0.0,-1.411535319410114,-0.931328100736373
14,-3585.8585858585857,-5000.0,0.0,-1.4244603873293153,-0.9460315174981567
15,-3484.848484848485,-5000.0,0.0,-1.4228698443762038,-0.9460510630592207
16,-3383.838383838384,-5000.0,0.0,-1.406556056901193,-0.93116627683919
17,-3282.8282828282827,-5000.0,0.0,-1.3759216072690115,-0.9017971610318511
18,-3181.818181818182,-5000.0,0.0,-1.331948473858695,-0.8589130283529594
19,-3080.808080808081,-5000.0,0.0,-1.276121104360645,-0.8039908369274422
20,-2979.7979797979797,-5000.0,0.0,-1.2103085507680293,-0.7387931758627319
21,-2878.787878787879,-5000.0,0.0,-1.1366170878201447,-0.6656072172383856
22,-2777.777777777778,-5000.0,0.0,-1.0572315146359146,-0.5866664892506863
23,-2676.7676767676767,-5000.0,0.0,-0.9742668066174454,-0.5039919142889033
24,-2575.757575757576,-5000.0,0.0,-0.8896491860977102,-0.4195175700609728
25,-2474.747474747475,-5000.0,0.0,-0.8050376652723555,-0.3348957398421469
26,-2373.7373737373737,-5000.0,0.0,-0.7217872695873577,-0.25149002609161974
27,-2272.7272727272725,-5000.0,0.0,-0.6409473503065316,-0.17034737388513976
28,-2171.717171717172,-5000.0,0.0,-0.5632845650311077,-0.09224030944710826
29,-2070.7070707070707,-5000.0,0.0,-0.48931992520983647,-0.017689076474940058
30,-1969.6969696969695,-5000.0,0.0,-0.41937130651769416,0.052983947536013654
31,-1868.6868686868688,-5000.0,0.0,-0.35359551553134366,0.11962190366586195
32,-1767.6767676767677,-5000.0,0.0,-0.29202647080136485,0.18218717339994256
33,-1666.6666666666665,-5000.0,0.0,-0.23460790875392906,0.24073549708953657
34,-1565.6565656565658,-5000.0,0.0,-0.18122023673247437,0.2953832665151577
35,-1464.6464646464647,-5000.0,0.0,-0.13170185269371767,0.3462912577304502
36,-1363.6363636363635,-5000.0,0.0,-0.08586559043021312,0.3936437108684846
37,-1262.6262626262628,-5000.0,0.0,-0.04351106496913185,0.43764003281644903
38,-1161.6161616161617,-5000.0,0.0,-0.004433682092712283,0.47848207850457
39,-1060.6060606060605,-5000.0,0.0,0.0315689978606427,0.51637625762805
40,-959.5959595959594,-5000.0,0.0,0.06469295021384176,0.5515241733223353
41,-858.5858585858587,-5000.0,0.0,0.09512494026511939,0.5840865979287562
42,-757.575757575758,-5000.0,0.0,0.12304094602902853,0.6142385485957851
43,-656.5656565656564,-5000.0,0.0,0.14860543581941107,0.6421514145786644
44,-555.5555555555557,-5000.0,0.0,0.17197125591786774,0.6679740660640363
45,-454.54545454545496,-5000.0,0.0,0.1932799398062698,0.6918464081355603
46,-353.53535353535335,-5000.0,0.0,0.2126622954609575,0.713895000168782
47,-252.52525252525265,-5000.0,0.0,0.23023916287843746,0.7342379730724597
48,-151.51515151515196,-5000.0,0.0,0.24612226180106414,0.7529824114343777
49,-50.50505050505035,-5000.0,0.0,0.26041507125679436,0.7702280657800877
50,50.50505050505035,-5000.0,0.0,0.27321369910200055,0.7860657121649585
51,151.51515151515196,-5000.0,0.0,0.2846077125548621,0.800580029139299
52,252.52525252525265,-5000.0,0.0,0.29468091035179605,0.8138485486289058
53,353.53535353535335,-5000.0,0.0,0.3035120245651409,0.825943744892768
54,454.54545454545496,-5000.0,0.0,0.3111753456696996,0.8369325133133856
55,555.5555555555557,-5000.0,0.0,0.31774126860254887,0.8468773559288982
56,656.5656565656564,-5000.0,0.0,0.3232767606965158,0.8558366164909752
57,757.575757575758,-5000.0,0.0,0.32784575462033416,0.8638642659818189
58,858.5858585858587,-5000.0,0.0,0.3315094711239366,0.8710114201234112
59,959.5959595959594,-5000.0,0.0,0.3343266774883878,0.8773170330964899
60,1060.606060606061,-5000.0,0.0,0.33635388835963786,0.882822989485504
61,1161.6161616161617,-5000.0,0.0,0.337645516010798,0.887595270430751
62,1262.6262626262624,-5000.0,0.0,0.3382539772653768,0.8916633526911553
63,1363.636363636364,-5000.0,0.0,0.3382297642228315,0.8950576833136243
64,1464.6464646464647,-5000.0,0.0,0.33762148570873146,0.8978104765384897
65,1565.6565656565654,-5000.0,0.0,0.33647588598552697,0.8999517472537101
66,1666.666666666667,-5000.0,0.0,0.33483784675458234,0.9015083760031424
67,1767.6767676767677,-5000.0,0.0,0.33275037794735957,0.9025050396761869
68,1868.6868686868684,-5000.0,0.0,0.33025460211683727,0.9029635053928708
69,1969.69696969697,-5000.0,0.0,0.3273897366191752,0.9029032684576616
