,lon,lat,elev,val
0,106.208,50.22,605,701.438
1,106.219,50.18,617,711.056
2,106.21799999999999,50.132,643,731.8492
3,106.21799999999999,50.095,675,757.4455
4,106.21700000000001,50.056999999999995,722,795.0397
5,106.21600000000001,50.035,744,812.6355000000001
6,106.23700000000001,50.003,700,777.4743000000001
7,106.301,49.965,773,835.9985000000001
8,106.281,49.93,677,759.155
9,106.25299999999999,49.89,638,727.895
10,106.235,49.861999999999995,718,791.8562
11,106.213,49.82,713,787.808
12,106.194,49.79,687,766.9670000000001
13,106.161,49.755,681,762.0975000000001
14,106.109,49.72,696,773.99
15,106.06,49.687,763,827.4887
16,106.03299999999999,49.635,699,776.2295
17,106.027,49.583,743,811.4123
18,105.995,49.553000000000004,703,779.3453
19,105.95299999999999,49.515,751,817.6575
20,105.945,49.474,709,784.0374
21,105.94200000000001,49.423,685,764.8263
22,105.916,49.379,695,772.7699
23,105.912,49.332,719,791.9572000000001
24,105.97399999999999,49.28,746,813.676
25,106.02,49.229,799,856.1629
